,listings,Ticker,listing date,ids,Price at 1/09 USD,Price at 1/09 BTC,Price at 1/09 ETH,Current Market Cap
55,Kryll,KRL,27-10-2021,kryll,1.2788882487715876,3.062662472200324e-05,0.0004133661510363378,48969509.302637614
56,Kyber Network,KNC,22-04-2021,kyber-network-crystal,1.5464575427558473,3.700985181137782e-05,0.0004991548794438272,158527229.28390837
57,LCX,LCX,27-10-2021,lcx,0.13679368983547996,3.273973488011573e-06,4.415634653279807e-05,77840214.96260956
58,Loom Network,LOOM,09-04-2021,loom-network-new,0.07665454638887033,1.8346237528540031e-06,2.4743719668153125e-05,0.0
59,Mask Network,MASK,14-07-2021,mask-network,9.457272546338043,0.00022648135006996255,0.003056808408034404,431310697.9495774
60,Measurable Data Token,MDT,08-12-2021,measurable-data-token,0.10278977316697901,2.4600115557391593e-06,3.317837579554708e-05,62564010.05627305
61,Mirror Protocol,MIR,04-05-2021,mirror-protocol,1.845139339641586,4.416093525175827e-05,0.0005956021230255617,249280962.38026395
62,Moss Carbon Credit,MCO2,06-12-2021,moss-carbon-credit,8.227425566915052,0.00019708001754725293,0.002659979969688063,0.0
63,musd,MUSD,15-11-2021,musd,0.9985702816415888,2.391978475253237e-05,0.00032284423917168926,87045199.0174107
64,OMG Network,OMG,14-05-2020,omisego,5.3778906794744294,0.0001287667542299083,0.0017379589837471887,757228232.6088604
65,OriginTrail,TRAC,27-10-2021,origintrail,0.9508937201325758,2.276120375073213e-05,0.00030698220495712166,350219639.7167548
66,Orion Protocol,ORN,10-08-2021,orion-protocol,4.814563404553355,0.00011532820716936838,0.0015565795296167062,165565114.55807602
67,Perpetual Protocol,PERP,18-10-2021,perpetual-protocol,9.038330438472801,0.0002163203161420457,0.0029175296857562203,574215419.5467025
68,PlayDapp,PLA,02-08-2021,playdapp,1.193204249143828,2.858205309135316e-05,0.0003857706613879887,364220530.15157104
69,Polkadot,DOT,14-06-2021,polkadot,24.051793062157824,0.0005759887470336369,0.007774093735849452,25923977117.20303
70,Polkastarter,POLS,06-12-2021,polkastarter,2.189634330215728,5.245057141037016e-05,0.0007079229598547532,193851235.50142798
71,Polygon,MATIC,09-03-2021,matic-network,1.9964066276296266,4.7801418229659365e-05,0.0006451735523267315,13787338576.403461
72,Polymath,POLY,26-07-2021,polymath,0.478388925812576,1.145638652642026e-05,0.0001546263241932965,431483834.46919674
73,Powerledger,POWR,15-11-2021,power-ledger,0.5047125140801852,1.2086779885639081e-05,0.00016313471448783457,216959931.40334618
74,Quant,QNT,23-06-2021,quant-network,172.9851263381872,0.00414262196242465,0.05591277887621145,2324342943.336662
75,QuickSwap,QUICK,10-08-2021,quick,273.68053537857924,0.006554060574727907,0.0884598553717831,99080605.89508602
76,Radicle,RAD,31-08-2021,radicle,8.409048308643655,0.00020137863262517373,0.0027179981804989427,231401450.93537605
77,Rai Reflex Index,RAI,02-08-2021,rai,3.056524759454728,7.319719830974094e-05,0.0009879392328271577,80368103.95216657
78,Rari Governance Token,RGT,08-09-2021,rari-governance-token,23.95714603574184,0.000573353304270042,0.007732862615344212,270116882.90794414
79,Rarible,RARI,13-10-2021,rarible,13.589240530218571,0.00032528080265677606,0.004387088623403213,74856272.44675346
80,Request,REQ,11-08-2021,request-network,0.2915619611417568,6.98228228750792e-06,9.423954421470316e-05,226601606.7015255
81,Ribbon Finance,RBN,08-12-2021,ribbon-finance,2.7664327397310897,6.614463838700891e-05,0.0008917109343158095,141505708.84069774
82,shapeshift-fox-token,FOX,06-12-2021,shapeshift-fox-token,0.4720198226599318,1.1303860195633244e-05,0.00015256768329305304,83687243.56611526
83,Shiba Inu,SHIB,16-09-2021,shiba-inu,2.7844350005432107e-05,6.668123341219209e-10,8.999935530653077e-09,15333795499.62655
84,Spell Token,SPELL,06-12-2021,spell-token,0.014712184715442576,3.5232520163779166e-07,4.755317108433538e-06,1180595667.4363658
85,Stellar Lumens,XLM,13-03-2019,stellar,0.25902560273825637,6.204707647326008e-06,8.374465491256793e-05,6428991577.213031
86,STORJ,STORJ,23-03-2021,storj,1.5301486103744129,3.6622054636501435e-05,0.0004939246274271313,220709092.94225124
87,SUKU,SUKU,27-10-2021,suku,0.41234965708815585,9.877436993332639e-06,0.00013331531466817108,49156655.19248148
88,SuperFarm,SUPER,06-12-2021,superfarm,1.0125345597052129,2.4254285519926816e-05,0.0003273589807075793,292964307.8225777
89,SushiSwap,SUSHI,09-03-2021,sushi,6.5845904854998665,0.00015768678924150094,0.002128291371631564,1279865148.6978886
90,Tellor,TRB,04-05-2021,tellor,28.85161576274241,0.00069111253508671,0.00932791423001683,67585431.89063784
91,Tezos,XTZ,05-08-2019,tezos,4.021324832213267,9.630208631580365e-05,0.0012997848479376656,3529247449.4190426
92,The Graph,GRT,17-12-2020,the-graph,0.5732005444788594,1.3730464340906379e-05,0.0001853194482924698,3032018729.9365873
93,Tribe,TRIBE,13-08-2021,tribe-2,0.8642886266363883,2.069785491024235e-05,0.00027935799966911354,394579054.23666424
94,UMA,UMA,02-09-2021,uma,8.908220920697328,0.0002133878114225378,0.002880085516652807,571454062.6737512
95,Voyager Token,VGX,17-11-2021,ethos,2.5913146147951625,6.205641526552825e-05,0.0008375725943771642,0.0
96,Wrapped Centrifuge,wCFG,06-10-2021,wrapped-centrifuge,0.7990309237967259,1.9140012535136482e-05,0.00025833187248846547,124443757.70785223
97,Wrapped LUNA,WLUNA,11-08-2021,wrapped-terra,66.8905797679255,0.0016018856111605162,0.021620576720300214,0.0
98,XYO Network,XYO,08-09-2021,xyo-network,0.028956059062954072,6.934353765476225e-07,9.359265514818227e-06,361537015.5310257
99,yearn.finance,YFI,10-09-2020,yearn-finance,33222.266522601676,0.7950759247153195,10.723253618323259,1188678756.518867
100,Zcash,ZEC,29-11-2018,zcash,143.50409245462498,0.003436023025647782,0.04637584539192909,1725245870.7830238
101,0x,ZRX,11-10-2018,0x,0.7123946482120451,1.7060320607145256e-05,0.00023026236579556982,607632083.1684146
102,filecoin,FIL,10-12-2020,filecoin,29.39287988677668,0.0007040779933816273,0.009502908426747288,4334683342.840736
103,aave,AAVE,14-12-2020,aave,213.29450533198047,0.005107944948546168,0.06894169900377868,2892162474.116189
104,bancor,BNT,14-12-2020,bancor,3.081193709973038,7.377526558900072e-05,0.0009957413804172572,817542398.8642523
105,havven,SNX,14-12-2020,havven,5.038274488392658,0.0001206558447547391,0.0016284864100767995,1006309694.4425845
106,republic-protocol,REN,6-10-2020,republic-protocol,0.44471937136658835,1.0650073066612644e-05,0.00014374354835903976,447719373.9884742
107,uniswap,UNI,17-9-2020,uniswap,14.927288377919501,0.0003575687475415668,0.0048260890073189115,6790463199.234768
108,loopring,LRC,17-9-2020,loopring,1.5202633672863335,3.641643776226581e-05,0.0004915109924414012,1909326110.4558678
109,celo,CGLD,3-9-2020,celo,4.533414418974942,0.00010859355529551837,0.001465682241752562,1769127989.7862077
110,skale,SKL,11-3-2021,skale,0.16393328808700106,3.926863273328793e-06,5.300069373219866e-05,524199181.0017911
111,origin-protocol,OGN,9-4-2021,origin-protocol,0.5158945279593099,1.2357754171804145e-05,0.00016679204201636887,208048837.20993248
112,keep-network,KEEP,17-6-2021,keep-network,0.6161172221500862,1.4758491822859835e-05,0.00019919468812813404,341015592.28330255
113,solana,SOL,17-6-2021,solana,142.37691491093904,0.0034096210878803044,0.04601949964720841,44680435604.26222
114,chiliz,CHZ,17-6-2021,chiliz,0.2578179305344891,6.1701036980256686e-06,8.321669006513262e-05,1382160680.1372252
115,nucypher,NU,3-12-2020,nucypher,0.6185636764877117,1.480449193163348e-05,0.00019966938595225125,405107782.4572502
116,numeraire,NMR,20-8-2020,numeraire,27.920730978615087,0.0006682452465448439,0.009012677953372879,165066144.2301326
117,rally-2,RLY,14-7-2021,rally-2,0.284966914381034,6.820300876203027e-06,9.198595225353353e-05,645053152.3471491
118,balancer,BAL,6-10-2020,balancer,17.857366352248572,0.0004276455416014418,0.0057719122869141146,193847202.90811804
119,1inch,1INCH,9-4-2021,1inch,2.126501649234473,5.093828913271278e-05,0.000687511755222511,939993334.4922115
120,enjincoin,ENJ,9-4-2021,enjincoin,2.26545028846929,5.424332659434213e-05,0.0007321196944566087,2127040232.25878
121,nkn,NKN,9-4-2021,nkn,0.2953980518607498,7.0696003963332535e-06,9.534827514394162e-05,192577366.7512183
122,maker,MKR,9-6-2020,maker,2055.769617052526,0.04920208842808761,0.663592565646436,1856680720.8829336
123,orchid-protocol,OXT,18-12-2019,orchid-protocol,0.31470232818185156,7.531978122105346e-06,0.00010158440111227977,186575270.7144653
124,truefi,TRU,11-08-2021,truefi,0.26079028386433073,6.2442917473339405e-06,8.427891969724598e-05,146803400.91467103
125,compound-governance-token,COMP,23-06-2020,compound-governance-token,188.66207006417198,0.004517273380282457,0.060969431902325864,1198419400.0827103
126,zencash,zen,15-09-2021,zencash,54.80404105677949,0.0013127777681227113,0.01771850140525262,657699394.8432187
127,livepeer,lpt,23-06-2021,livepeer,35.023348862200514,0.0008389504289267192,0.011323275511537969,870204080.7851229
