,Did not list,listing date,ids,Price at listing,Price at listing BTC,Price at listing ETH,market cap at consideration,earliest listed price,earliest listed price BTC,earliest listed price ETH,market cap earliest listed,Current price,Current BTC,Current ETH,current market cap,Return BTC,Return USD,a16z,Coinbase ventures
0,Render,10-6-2020,render-token,added to coingecko after coinbase consideration,added to coingecko after coinbase consideration,added to coingecko after coinbase consideration,added to coingecko after coinbase consideration,0.05118805501524312,5.423608596505347e-06,0.00022147868535201678,0.0,5.414468785165335,0.00010650270709416996,0.0013284581133691752,834191318.8590258,1802.90%,10102.50%,,
1,Vechain,10-6-2020,vechain,0.00819090887425465,8.387791206017319e-07,3.3605827890247935e-05,527940536.64605606,,,,,0.09469386128025822,1.8620713897272106e-06,2.3226487972446478e-05,6318339818.531087,122.00%,1056.10%,,
2,Aragon,10-6-2020,aragon,1.0947678935219507,0.00011205713639862327,0.0044911081543531186,36324657.65122504,,,,,9.77825648413449,0.0001923554505886349,0.0024000601283248775,371872614.73054105,71.70%,793.20%,,
3,Digibyte,10-6-2020,digibyte,0.016521646081844973,1.6911058129107992e-06,6.777737991822322e-05,218517768.20912534,,,,,0.0385445477253523,7.579445866816367e-07,9.454197579890292e-06,576582183.8314764,-55.20%,133.30%,,
4,Arweave,10-6-2020,arweave,1.0769548027311988,0.00011023384220427235,0.004418032831466903,0.0,,,,,61.62568304739329,0.0012121783930229579,0.015120068447070563,3085567403.2497573,999.60%,5622.20%,Yes,Yes
5,Siacoin,10-6-2020,siacoin,0.0026943392087279854,2.7591022031792237e-07,1.1054389826147209e-05,119417834.50460981,,,,,0.016757526467925363,3.296208739675572e-07,4.11151543754525e-06,832653924.0601714,19.50%,522.00%,,
7,Blockstack,31-07-2020,blockstack,0.15940633945550658,1.4344029623317458e-05,0.00047543743727121554,122117307.53998165,,,,,2.3809675808115243,4.6821094062387014e-05,0.0005840735000726034,2516342048.409559,,,,
8,Helium,31-07-2020,helium,0.42111257653107276,3.793740365023972e-05,0.0012583722041831387,18513977.470442176,,,,,37.575748535246454,0.0007388940037832594,0.009216570742918121,3773282342.941386,,,,
9,Hedera,31-07-2020,hedera-hashgraph,0.04261829520579104,3.834967235401487e-06,0.00012711121228127213,210839841.66944674,,,,,0.319906496728715,6.29067953183773e-06,7.846659010541434e-05,5902561849.483268,,,,
10,Kava,31-07-2020,kava,2.422426155722346,0.0002181719585419302,0.007231379157569488,65827363.98167808,,,,,4.078543200647691,8.024264129687049e-05,0.0010012046104165497,591748864.3071079,,,,
11,Melon,31-07-2020,melon,14.275693079342233,0.0012857175899072314,0.042615519630992124,14886273.900014648,,,,,86.849409088464,0.001708329578479226,0.021308794403062666,126275875.5490344,,,,
12,Reserve Rights,31-07-2020,reserve-rights-token,0.008769717575270642,7.898306640789438e-07,2.6179189298206916e-05,60134843.30239298,,,,,0.033107563119335146,6.510310724962934e-07,8.120615277397772e-06,435283488.7104732,,,,
13,Theta,31-07-2020,theta-fuel,0.008152064230041453,7.334615827563633e-07,2.4310818117365604e-05,0.0,,,,,0.22969710622653808,4.518544838622335e-06,5.63788510907233e-05,1886178773.9046779,,,,Yes
15,Chia,19-09-2019,chia,added to coingecko after coinbase consideration,added to coingecko after coinbase consideration,added to coingecko after coinbase consideration,added to coingecko after coinbase consideration,670.4414804701877,0.012486443689368883,0.20613881415020457,0.0,104.0736843574546,0.0020471314105091148,0.025534828227597103,214471238.74471557,,,Yes,
16,Mina,19-09-2019,mina-protocol,added to coingecko after coinbase consideration,added to coingecko after coinbase consideration,added to coingecko after coinbase consideration,added to coingecko after coinbase consideration,3.26379571919946,8.897561411650943e-05,0.0012399018983457705,479212619.0347164,3.805012044906718,7.482454960700097e-05,0.0009334048564111906,1261240649.476734,,,,
17,Handshake,19-09-2019,handshake,added to coingecko after coinbase consideration,added to coingecko after coinbase consideration,added to coingecko after coinbase consideration,added to coingecko after coinbase consideration,0.553550921120922,5.348e-05,0.002087379864777655,2084846.6455843137,0.2615164038337524,5.144486215654167e-06,6.418885562704203e-05,118069837.85217041,,,Yes,
18,Kadena,19-09-2019,kadena,added to coingecko after coinbase consideration,added to coingecko after coinbase consideration,added to coingecko after coinbase consideration,added to coingecko after coinbase consideration,0.23477826648007644,2.7939458849769854e-05,0.0014391084937332391,0.0,15.391998204306287,0.00030267954991906475,0.0037758003665200037,2491078533.9915934,,,,
19,Mobilecoin,19-09-2019,mobilecoin,added to coingecko after coinbase consideration,added to coingecko after coinbase consideration,added to coingecko after coinbase consideration,added to coingecko after coinbase consideration,5.693644803004257,0.00029655325035313955,0.009611578604661922,0.0,10.67388119680962,0.00020997395910745607,0.002619890030140372,0.0,,,,
20,NEAR,19-09-2019,near,added to coingecko after coinbase consideration,added to coingecko after coinbase consideration,added to coingecko after coinbase consideration,added to coingecko after coinbase consideration,1.1838733589946326,0.00010363296776236872,0.0031187730423697544,0.0,16.15134219919088,0.0003176019206334458,0.0039615974072290065,9564238709.0674,,,Yes,Yes
21,Nervos,19-09-2019,nervos-network,added to coingecko after coinbase consideration,added to coingecko after coinbase consideration,added to coingecko after coinbase consideration,added to coingecko after coinbase consideration,0.010277496233952957,1.209742918111838e-06,5.6267191169134845e-05,0.0,0.02405775290637403,4.73216471050951e-07,5.9026505287956015e-06,699194285.6357112,,,,
24,Decred,5-8-2019,decred,28.349635957677982,0.0025890210807568864,0.12767926515321826,288820815.90999395,,,,,80.25533108683878,0.0015786239349842744,0.01969091520400829,1093210743.4839194,,,,
