listings,Ticker,listing date,,,,,,,,,,,
skale,SKL,11-3-2021,,,,,,,,,,,
origin-protocol,OGN,9-4-2021,,,,,,,,,,,
keep-network,KEEP,17-6-2021,,,,,,,,,,,
solana,SOL,17-6-2021,,,,,,,,,,,
chiliz,CHZ,17-6-2021,,,,,,,,,,,
nucypher,NU,3-12-2020,,,,,,,,,,,
numeraire,NMR,20-8-2020,,,,,,,,,,,
rally-2,RLY,14-7-2021,,,,,,,,,,,
balancer,BAL,6-10-2020,,,,,,,,,,,
1inch,1INCH,9-4-2021,,,,,,,,,,,
enjincoin,ENJ,9-4-2021,,,,,,,,,,,
nkn,NKN,9-4-2021,,,,,,,,,,,
maker,MKR,9-6-2020,,,,,,,,,,,
orchid-protocol,OXT,18-12-2019,,,,,,,,,,,
truefi,TRU,11-08-2021,,,,,,,,,,,
compound-governance-token,COMP,23-06-2020,,,,,,,,,,,
zencash,zen,15-09-2021,,,,,,,,,,,
livepeer,lpt,23-06-2021,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
